"","player_name","batter","expected_hr_2021"
"199","Marwin Gonzalez",503556,19.7013825733454
"200","Maikel Franco",596748,19.6928591881134
"201","Kris Bryant",592178,19.6886394297657
"202","Brian Anderson",605119,19.6228490479151
"203","Jake Cave",595909,19.6187180278196
"204","Gleyber Torres",650402,19.6127178367263
"205","Enrique Hernandez",571771,19.6011888673768
"206","Corey Dickerson",572816,19.5688226597352
"207","John Ryan Murphy",571974,19.5647738716962
"208","Aaron Hicks",543305,19.5317706933059
"209","Anthony Rizzo",519203,19.5178468072204
"210","Scott Kingery",664068,19.4750055406965
"211","David Bote",623520,19.4623876911725
"212","James McCann",543510,19.4143116530498
"213","JaCoby Jones",592444,19.3772818706022
"214","Christian Arroyo",624414,19.3747792615119
"215","Travis Shaw",543768,19.36605391866
"216","Nick Ahmed",605113,19.3128803493062
"217","Tim Anderson",641313,19.2791492904201
"218","Yoshi Tsutsugo",660294,19.2115073608308
"219","Elias Diaz",553869,19.0087802077261
"220","Rio Ruiz",547004,18.9624505718707
"221","Carlos Correa",621043,18.961607215079
"222","Yan Gomes",543228,18.936700063146
"223","Wilson Ramos",467092,18.9152100783174
"224","Brandon Crawford",543063,18.89479123133
"225","Todd Frazier",453943,18.8488713410951
"226","Ketel Marte",606466,18.8480981714616
"227","Pat Valaika",642162,18.7635315059684
"228","Domingo Santana",570267,18.7602092343885
"229","Alex Avila",488671,18.4368686035995
"230","Carson Kelly",608348,18.4281475586193
"231","Jose Martinez",500874,18.4223842237963
"232","Ryan Mountcastle",663624,18.29661891093
"233","Niko Goodrum",592348,18.1900974047024
"234","Francisco Cervelli",465041,18.1818568824318
"235","Austin Hedges",595978,17.9565877300982
"236","Jeimer Candelario",600869,17.9250276389359
"237","Lewis Brinson",621446,17.9012777476962
"238","Alex Bregman",608324,17.8698501960952
"239","David Peralta",444482,17.8636594039518
"240","Pedro Severino",600474,17.7942751467369
"241","Michael Brantley",488726,17.7799062529318
"242","Starlin Castro",516770,17.749752945104
"243","Martin Maldonado",455117,17.7268389429453
"244","Cavan Biggio",624415,17.7088217972077
"245","Pablo Sandoval",467055,17.7065949858155
"246","Kevin Pillar",607680,17.6959042566852
"247","Gavin Lux",666158,17.489443038904
"248","Shed Long Jr.",643418,17.4487664685456
"249","Jason Kipnis",543401,17.3891258315505
"250","Alex Gordon",460086,17.374582571555
"251","Andrew Knapp",595284,17.3155867585813
"252","Josh VanMeter",642165,17.2977000488141
"253","Alex Verdugo",657077,17.1906691040504
"254","JT Riddle",595375,17.1278732091314
"255","Elvis Andrus",462101,17.1069051995724
"256","Ronald Guzman",608597,17.0890270581761
"257","Brandon Nimmo",607043,16.9896499047751
"258","Jonathan Schoop",570731,16.9186691519904
"259","Jurickson Profar",595777,16.8894671711176
"260","Austin Nola",543592,16.8882839800035
"261","Edward Olivares",658668,16.7142118905552
"262","Orlando Arcia",606115,16.6926049043654
"263","Kyle Farmer",571657,16.6772139570821
"264","Tyler Flowers",452095,16.6350881721991
"265","Whit Merrifield",593160,16.544187895016
"266","Freddy Galvis",520471,16.4852430164983
"267","Leury Garcia",544725,16.4727190757811
"268","Miguel Andujar",609280,16.4430610702561
"269","Garrett Hampson",641658,16.3617829954003
"270","Tommy La Stella",600303,16.3611039311336
"271","Cameron Maybin",457727,16.3538564154327
"272","Chris Davis",448801,16.3297752831093
"273","Jorge Polanco",593871,16.3073496532645
"274","Nick Senzel",669222,16.2539824324765
"275","Yadier Molina",425877,15.9389720129836
"276","Nick Solak",669256,15.9383932329401
"277","Andrew Benintendi",643217,15.9136667104038
"278","Wilmer Flores",527038,15.8933220615315
"279","Willi Castro",650489,15.87817291491
"280","Roberto Perez",547379,15.8737727429872
"281","Erik Gonzalez",570481,15.6097899770467
"282","Luis Torrens",620443,15.4106289053495
"283","Harold Castro",605612,15.2859131134232
"284","Taylor Ward",621493,15.2697660601161
"285","Leody Taveras",665750,15.2450252525963
"286","Tommy Edman",669242,15.0429308093432
"287","Brett Phillips",621433,15.0427529371603
"288","Tucker Barnhart",571466,14.9397156079113
"289","Kevin Kiermaier",595281,14.7586377439616
"290","Jonathan Villar",542340,14.7075232472318
"291","Didi Gregorius",544369,14.6605707191758
"292","Christian Vazquez",543877,14.6345962105782
"293","Yuli Gurriel",493329,14.611789823365
"294","Aledmys Diaz",649557,14.6027527822814
"295","Amed Rosario",642708,14.5786871906699
"296","Jean Segura",516416,14.4915832084022
"297","Jacob Stallings",607732,14.4862645848001
"298","Scott Heineman",595981,14.4408591361127
"299","Donovan Solano",456781,14.427719635581
"300","Manuel Margot",622534,14.4099882176211
"301","Robinson Chirinos",455139,14.3667300883211
"302","Josh Naylor",647304,14.2694360893134
"303","Andrew Velazquez",623205,14.2606792496744
"304","Phil Gosselin",594838,14.212160280895
"305","Dwight Smith",596105,14.1956461741023
"306","Victor Caratini",605170,13.9644855913132
"307","Dexter Fowler",451594,13.9206068441478
"308","Yandy Diaz",650490,13.8973127994806
"309","Adam Eaton",594809,13.893491898544
"310","Austin Romine",519222,13.8737253847229
"311","Raimel Tapia",606132,13.7483762699616
"312","Curt Casali",592200,13.7260801720575
"313","Jeff McNeil",643446,13.5752965360693
"314","Matt Beaty",607461,13.4389416133511
"315","Luis Arraez",650333,13.3662793909245
"316","Matt Joyce",459964,13.364692632176
"317","Willie Calhoun",641432,13.3504470997537
"318","Thairo Estrada",642731,13.3063431827604
"319","Daniel Murphy",502517,13.1742810743601
"320","Jo Adell",666176,13.1605519320138
"321","Brett Gardner",458731,13.0176198350432
"322","Jason Heyward",518792,12.8563364477096
"323","Johan Camargo",622666,12.8439682518439
"324","Adam Haseley",656514,12.7465722144481
"325","Austin Hays",669720,12.7331661796276
"326","Adam Frazier",624428,12.7207865394145
"327","Abraham Toro",647351,12.7006201473104
"328","Jeff Mathis",425772,12.6912901065358
"329","Stephen Vogt",519390,12.5523979895698
"330","Oscar Mercado",640458,12.541028967196
"331","Bradley Zimmer",605548,12.5359404014622
"332","Ben Gamel",592325,12.5158652146348
"333","Josh Reddick",502210,12.505792956289
"334","Ildemaro Vargas",545121,12.4979805624329
"335","Victor Reyes",622682,12.4961646120117
"336","Jace Peterson",607054,12.4673624075184
"337","Kevin Plawecki",608700,12.3825516001549
"338","Mauricio Dubon",643289,12.3074517540987
"339","Luis Garcia",671277,12.2043847372652
"340","Joey Wendle",621563,12.0477279899168
"341","Cesar Hernandez",514917,12.0416658411716
"342","Jose Iglesias",578428,11.9265038546705
"343","Omar Narvaez",553882,11.9185484259678
"344","Joey Bart",663698,11.89548988135
"345","Daz Cameron",663662,11.7491773322095
"346","Roman Quinn",596451,11.7367794419319
"347","Nick Markakis",455976,11.6474685323121
"348","Ehire Adrianza",501303,11.6427227079953
"349","Adam Engel",641553,11.5897411388977
"350","Robbie Grossman",543257,11.4310541246142
"351","Luis Urias",649966,11.0481239842142
"352","Josh Fuentes",658069,11.0248397282244
"353","Andres Gimenez",665926,10.9108110738587
"354","Bubba Starling",605490,10.8784757661764
"355","Tim Lopes",621005,10.8740551333557
"356","Jorge Bonifacio",593528,10.8632144423646
"357","Kurt Suzuki",435559,10.8345238989069
"358","Joe Panik",605412,10.8339125500307
"359","Cedric Mullins",656775,10.8196223078789
"360","Kolten Wong",543939,10.7662830505085
"361","Brock Holt",571788,10.743913026633
"362","Hanser Alberto",593643,10.6624173948985
"363","Jon Berti",542932,10.6201388736803
"364","Luis Guillorme",641645,10.5350016381948
"365","Tzu-Wei Lin",624407,10.407866883026
"366","Eli White",642201,10.1127736755891
"367","Luis Rengifo",650859,10.0023137877372
"368","Jon Jay",445055,9.94472534928769
"369","Daulton Varsho",662139,9.8866983751551
"370","Sandy Leon",506702,9.87770693552618
"371","Danny Mendick",664901,9.87276296118011
"372","Delino DeShields",592261,9.85025238293149
"373","J.P. Crawford",641487,9.84444224047769
"374","Shogo Akiyama",673451,9.84035215558762
"375","Josh Harrison",543281,9.75653829184692
"376","Austin Barnes",605131,9.52628838954543
"377","Anthony Bemboom",621532,9.39251585052609
"378","Tyler Wade",642180,9.20795231653778
"379","Kevin Newman",621028,9.17331306244925
"380","Isiah Kiner-Falefa",643396,8.96130442119598
"381","Victor Robles",645302,8.90275550733373
"382","Josh Rojas",668942,8.8066318094642
"383","Mike Tauchman",643565,8.76235191843903
"384","Santiago Espinal",669289,8.7596024513553
"385","Nicky Lopez",670032,8.64409649473565
"386","Tim Locastro",641796,8.36902025643487
"387","Nico Hoerner",663538,8.31967021799446
"388","Cole Tucker",657061,7.94592953008307
"389","Miguel Rojas",500743,7.85039248528753
"390","Myles Straw",664702,7.82919881605009
"391","Tony Kemp",643393,7.56172555974041
"392","Andrelton Simmons",592743,7.05370408774887
"393","Jose Garcia",676480,6.98228900549561
"394","Tyler Heineman",623168,6.94331621593684
"395","Jose Peraza",606299,6.26279877293055
"396","Eric Sogard",519299,6.18644241493987
"397","Jarrod Dyson",502481,6.05242921957636
"398","Tony Wolters",547172,5.97241288245738
"399","David Fletcher",664058,5.80731719448182
"400","Ender Inciarte",542255,5.44508033655655
"401","Greg Garcia",594824,4.730939618046
"402","Cam Gallagher",595956,4.39242118705417
"403","Adeiny Hechavarria",588751,4.20048778554012
"404","Dee Strange-Gordon",543829,3.11483623024873
"405","Phillip Ervin",640447,2.12250686325264
"406","Carter Kieboom",666198,1.00377119673238
